document,label
"""1초에 UHD 영화 2편 처리""삼성, '최선단 공정' 12나노급 D램 양산",1
"""1초에 UHD 영화 2편 처리""삼성, '최선단 공정' 12나노급 D램 양산",1
"""30GB UHD 영화 2편 1초 만에 처리""…삼성전자, 업계 최선단 12나노급 D램 양...",1
"""30GB UHD 영화 2편 1초 만에 처리""…삼성전자, 업계 최선단 12나노급 D램 양...",1
"""400조 공조 시장 잡아라""…삼성·LG, '지속가능에너지효율' 승부",2
"""400조 공조 시장 잡아라""…삼성·LG, '지속가능에너지효율' 승부",2
"""AI기술로 '무어의 법칙' 한계 극복....삼성전자ㆍ인텔ㆍ퀄컴 등 반도체 기업...",6
"""DDR5 수요 잡는다""삼성전자, 업계 최선단 12나노급 D램 양산",1
"""MS특허권사용삼성에 법인세 113억 부과 잘못""",8
"""RCEP, 아세안 시장 활로 열었다…상표·디자인·특허권활용이 승부수""",8
"""RCEP, 아세안 시장 활로 열었다…상표·디자인·특허권활용이 승부수""",8
"""RCEP, 아세안 시장 활로 열었다…상표·디자인·특허권활용이 승부수""",8
"""UHD 영화 2편 1초 처리""…삼성전자, 업계 최선단 12나노급 D램 양산",1
"""UHD급 영화 2편을 1초에""…삼성전자, 차세대 DDR5 메모리 최초 개발",6
"""가스 누출사고 진상조사·책임자 처벌""삼성전자기흥사업장 사망사고 대책위...",4
"""'갑질'에삼성스마트폰 가격 올랐다""…英서 벌어진소송전",8
"""'갑질'에삼성스마트폰 가격 올랐다""…英서 벌어진소송전",8
"""'갑질'에삼성스마트폰 가격 올랐다""…英서 벌어진소송전",8
"""게임콘솔 사라지고 TV로 대체""…삼성전자실리콘밸리 연구소에서 바라본 미래",5
"""게임콘솔 사라지고 TV로 대체""…삼성전자실리콘밸리 연구소에서 바라본 미래",5
"""경각심 유지"" 평택비정규노동센터, 평택 산단서 '노동안전' 행사 개최",4
"""국고 수십억 들인특허권'줍줍'…이종호 후보자의 부는 정당한가?""(종합)",8
"""국내 미등록특허권사용료에 법인세 부과는 위법""",8
"""국내 미등록특허권사용료에 법인세 부과는 위법""",8
"""급등 주도주 첫 급락..위험관리필요""",7
"""기우제 지내야 할 판"" 가뭄 비상 걸린반도체공장들",3
"""기우제 지내야 할 판"" 가뭄 비상 걸린반도체공장들",3
"""기후산업국제박람회에서탄소중립 이벤트 참여하세요""",1
"""기후산업국제박람회에서탄소중립 이벤트 참여하세요""",1
"""'뉴삼성' 닻 올랐다""…'미래 구상' 나선 이재용, 美서 22일간 누구 만났나",5
"""대세는 AI·서버""삼성, 미세공정 한계 극복한 고성능 D램 내놔",1
"""대세는 AI·서버""삼성, 미세공정 한계 극복한 고성능 D램 내놔",1
"""대세는 AI·서버""삼성, 미세공정 한계 극복한 고성능 D램 내놔",1
"""데이터 연산 성능 2배""삼성전자, 더 똑똑한 스마트SSD 개발",6
"""美 인터디지털·퀄컴, 화웨이 제재에도 '5G 무선통신특허권유지'기대""",8
"""반도체 노동자, 혈액암 사망률 최고 3.68배"" 정부 공식확인",7
"""반도체 노동자, 혈액암 사망률 최고 3.68배"" 정부 공식확인",7
"""버냉키發 쇼크 이틀째 금융시장 강타""",7
"""불산 누출 때삼성전체 사업장 점검했더라면…""",4
"""삼성,노동자질병 인정하라""…반올림의 1002번째 외침(종합)",4
"""삼성,특허권침해했다"" 에릭슨, 美서소송제기",8
"""삼성물산노동자추락사, 이재용 사죄해야""",4
