document,label
"[패러다임 전환시대 ESG 경영] Part Ⅰ ‘ESG 경영’ 사례 | 글로벌 스탠더드 뛰어넘는 초우량기업 조건, 저탄소 배출 사회적 책임 다해야 회사도 롱런",1
"[패러다임 전환시대 ESG 경영] 포스트 코로나 시대 新생존 키워드 ‘ESG’ 존경받는 기업, 환경 사회 지배구조에 달렸다",1
[Deep & wide] '재생에너지 안쓰면 거래도 없다'...애플 구글 BMW 줄줄이 선언,1
새해 ‘그린株’ 뜬다 K뉴딜 이어 바이든 친환경정책 본격화,1
[탁류청론]탄소 경쟁력 확보 땐 전통 주력산업 주도,1
"탄소중립과 RE-100 캠페인, ‘새만금을 주목하라’",1
"""바이든의 그린 뉴딜 제조업 부흥 공약, 한미 경제동맹 확장 기회""[청론직설]",1
"[핫키워드5] 탄소중립 전략, 21억 돌파, 생계지원 확대, 엇갈린 의견, 공룡 플랫폼 규제",1
"삼성전자, 국내외 인증기관서 제품 환경 인증  탄소 배출 절감 노력 '인정'",1
"삼성전자, 메모리 반도체 9종 '탄소 발자국' 획득",1
삼성전자 메모리 주력제품 ‘탄소저감 인증’ 획득,1
"삼성전자, 메모리 주력제품 '탄소 저감 인증' 획득",1
탄소중립 시대' 성큼성큼 발 빠르게 움직이는 기업들,1
"[중후장대 탄소배출권 3기 점검] ②철강 화학, 배출부채 규모 상위권  정유도 내년부터 빚 발생",1
"[바이든發 친환경] K반도체, 생산부터 제품까지 그린뉴딜 앞장선다",1
"""탄소중립, 제조업엔 치명타 정부 지원 없으면 문 닫아야""",1
FUTURE : K - 신인류를 위한 미래 설계도,1
차기회장에 최태원 추대 본격화 재계 수락여부 ‘관심’,1
막오른 바이든 정부 득실 계산 바쁜 산업계,1
삼성은 이미 바이든에 베팅했다 [이지경제],1
"바이든 ‘친환경’ 최우선, 신재생에너지 업계에 호재 보호무역 기조 유지 가능성에 철강 석유화학 업계는 긴장",1
친환경 정책 공약 쏟아낸 바이든 신재생에너지 기업 호재 [美대선 산업계 영향],1
"[사설]SK의 ‘RE100’ 가입, 신재생에너지 확산의 마중물 돼야",1
"文대통령 탄소중립 선언한 날, 한전 해외석탄화력 중단 발표",1
"[기고] 기업경영, 환경ㆍ사회ㆍ 지배구조(ESG)에 달렸다",1
"KCC, 독보적인 기술로 건축용 실란트 시장 주도",1
이재용 이어 최태원도 혹했다  “배우라” 콕 찍은 '155년 기업',1
[Mint] 기후테크 스타트업이 뜬다 “2조원 투자” 아마존도 5곳 찍었다,1
"‘탈석탄’ 외치는 與, 3분의 1 지은 火電 ""공사 중단"" 압박... ‘제2 신한울 3 4호기 사태’ 되나",1
"""삼척火電 1 2호기공사중단땐 매몰비용 2조""... 발전사업자 정부도 반발",1
[최현철의 시선] 미래 세대가 습격하기 전에,1
[탄소배출권 거래제 3기 온다] ?‘탄소경영 모범생’ 전자업계...배출권 팔아 벌써부터 수익,1
국내 대기업 온실가스 배출 얼마나 줄였을까?,1
기업이 재생에너지 구매하면 온실가스 감축 인정 태양광 예산 3300억 투자,1
"기업 재생에너지 사면 온실가스 감축인정 ""배출권 부담 완화""",1
"신재생에너지 구매하면, 탄소감축으로 인정",1
냉매 99% 재생 폐기 온실가스 잡는 범석ENG,1
"""한전이 한국선 '탈석탄'하며, 해외 석탄발전에 참여하는 건 비양심적"" 한전에 투자한 영국 성공회의 일침",1
"삼성 ""저전력 메모리, 화력발전소 2.5기 대체 효과""",1
"삼성전자 ""저전력 메모리로 화력발전소 2.5기 대체""",1
“내수 집중” 중국 화웨이 빠지자 세계 스마트폰 시장 출렁,1
"[포스트 코로나, 퍼스트 코리아!] ""중동 신재생 특수 터졌다"" 토종기업 오일머니 쟁탈전",1
"[단독] SK텔레콤, 온실가스 배출 '0' 만든다 국내 통신사 최초 '넷 제로' 동참",1
수원시 ‘지구의 날’ 50주년 기념 소등 행사,1
"녹색성장 나선 전자업계, 온실가스 배출량 줄여라",1
"""가시화된 'E충격' 대비 못하면 '제2 외환위기' 올수도""",1
"블랙록의 경고 ""기후리스크 외면한 기업엔 투자 안해""",1
세계 최초 英韓 제품탄소발자국 인증 공동 수여식 개최,1
英韓 제품탄소발자국 인증 공동 수여식 사상 첫 개최,1
[ECO&LIFE] 질소로 정수기 성능 검사...버려지던 물 年 수천톤 절약,1
세계기업 200여곳 “100% 재생에너지로”   탄소제로화 거센 물결,1
[인사이드칼럼] 재생에너지와 원전 함께 쓰는 구글,1
다국적 기업 인싸템 ‘RE100’ 국내 기업도 참여할 수 있게 될까,1
"모두보다 내 이익만 챙기는 ‘공유지 비극’ 기후를 울리다 [뜨거운 지구, 차가운 관심]",1
기후변화 막으려면 제대로 비용 지불해야,1
"웅진코웨이, 'CDP 기후변화 대응 우수기업' 10년 연속 선정",1
"웅진코웨이, 10년 연속 탄소경영 우수기업 선정",1
"웅진코웨이, 친환경 경영 입증 ‘탄소경영 우수기업’ 10년 연속 선정",1
"친환경 경영 입증....?웅진코웨이, '탄소경영 우수기업' 10년 연속 선정",1
"웅진코웨이, 10년 연속 탄소경영 우수기업 선정",1
"웅진코웨이, 10년 연속 탄소경영 우수기업 선정돼",1
49번째 '지구의 날' 맞아 친환경 앞장서는 기업들,1
"""코카콜라 공장이 지하수를 훔친다""",1
"안드레아 보라뇨 회장 ""메이드 인 이탈리아 고집하는 이유는 그래야 명품""",1
30개기업 전기료 年10조 '절전 사활',2
"삼성 LG전자, 美 ‘에너지 환경’ 최고상",2
"삼성전자, 미국 환경청 '에너지스타상' 최고상 '2관왕'",2
"역시 K-가전 삼성 LG, 美서 나란히 에너지스타상",2
"미국이 인정한 에너지 절감 성과 삼성, 유일한 '2관왕'",2
"삼성 LG전자, 미국 '에너지스타 어워드' 최고상 수상",2
"삼성전자, 미국 환경청 에너지스타상 최고상 2관왕",2
환경 생각했더니 미국서 1등 삼성 LG 나란히 최고상 수상(종합),2
"삼성전자, 미국 환경청 ‘에너지스타상’ 최고상 ‘2관왕’",2
"삼성전자, 에너지 절감 성과 인정 최고상 '2관왕'",2
"삼성전자, 미국 에너지스타상 '제조사 에너지관리' 2관왕",2
"삼성전자, 미국 환경청 ‘에너지스타상’ 최고상 ‘2관왕’",2
제조 공장도 '에너지 다이어트',2
산업에 일상에 대체불가 기능인 키우는 '경남산업고',2
공학한림원 ‘혁신성장’ 토론회 “9대 미래 기술 키워 성장동력 확충을”,2
"뿌리기업' 비와이, 스마트공장으로 도약",2
"[특성화고, 취업 길을 연다] (3)창원기계공업고등학교",2
"[K제조업,현장을 가다] 공장지붕 가득 태양광 모듈 ESG로 헬스케어 수출 날개",2
"비엠티, 스마트제조혁신 첨병 우뚝",2
"아이티공간, 서울대학교와 AI바우처 지원사업 따냈다",2
"[강세 토픽] 스마트홈 테마, 와이솔 +3.67%, 코콤 +3.30%",2
"[강세 토픽] 폭염 테마, 위니아딤채 +6.33%, 에스씨디 +4.61%",2
"[강세 토픽] 폭염 테마, 파세코 +14.66%, 신일전자 +7.44%",2
"[강세 토픽] 폭염 테마, 파세코 +21.15%, 신일전자 +8.65%",2
"[강세 토픽] 스마트홈 테마, 하츠 +6.73%, 코맥스 +6.43%",2
"[강세 토픽] 폭염 테마, 에쎈테크 +4.28%, 파세코 +4.18%",2
"[강세 토픽] 스마트홈 테마, 유니트론텍 +7.41%, 삼진 +4.02%",2
"[강세 토픽] 스마트홈 테마, 텔레필드 +7.80%, 코맥스 +4.91%",2
"[강세 토픽] 폭염 테마, 위닉스 +6.04%, 롯데칠성 +3.40%",2
"[강세 토픽] 스마트홈 테마, 하츠 +4.84%, 코콤 +4.75%",2
"[강세 토픽] 폭염 테마, 파세코 +24.13%, 위닉스 +5.81%",2
"[강세 토픽] 스마트홈 테마, 코맥스 +3.53%, 코콤 +3.33%",2
"[강세 토픽] 폭염 테마, 빙그레 +29.88%, 위닉스 +3.46%",2
"[강세 토픽] 스마트홈 테마, 텔레필드 +6.28%, 와이솔 +4.20%",2
"[강세 토픽] 폭염 테마, 에스씨디 +4.85%, 빙그레 +3.25%",2
"[강세 토픽] 폭염 테마, 에쎈테크 +14.34%, 하이트진로 +4.31%",2
"[강세 토픽] 스마트홈 테마, 필룩스 +7.29%, 하츠 +4.33%",2
"[강세 토픽] 폭염 테마, 하이트진로 +4.30%, 에쎈테크 +4.13%",2
"[강세 토픽] 폭염 테마, 파세코 +4.67%, 위니아딤채 +4.02%",2
"[강세 토픽] 폭염 테마, 태경화학 +4.56%, 위니아딤채 +4.33%",2
"[강세 토픽] 폭염 테마, 위니아딤채 +5.12%, 하이트진로 +2.96%",2
"[강세 토픽] 폭염 테마, 하이트진로 +5.41%, 에쎈테크 +4.08%",2
"[강세 토픽] 스마트홈 테마, 어보브반도체 +5.18%, 텔레필드 +4.17%",2
"[강세 토픽] 폭염 테마, 하이트진로 +5.50%, 에쎈테크 +3.88%",2
"[강세 토픽] 스마트홈 테마, 유니트론텍 +3.13%, 필룩스 +2.85%",2
"[강세 토픽] 스마트홈 테마, 필룩스 +4.77%, 와이솔 +4.05%",2
"[강세 토픽] 스마트홈 테마, 윈팩 +7.80%, 필룩스 +5.24%",2
"[강세 토픽] 스마트홈 테마, 유니트론텍 +5.26%, 텔레필드 +4.47%",2
"[강세 토픽] 폭염 테마, 위니아딤채 +4.38%, 파세코 +4.24%",2
"[강세 토픽] 스마트홈 테마, 하츠 +6.18%, 삼진 +4.05%",2
